id,timestamp,from,subject,body
41,2025-06-30T09:30:00+05:30,dispatch@tirupurmart.in,Fwd: Purchase Order 2025-501 Created,"Dear Sir, We acknowledge receipt of PO 2025-501 for 1,000 pcs cotton T-shirts in Navy. Cutting starts tomorrow; kindly confirm if the attached shade card is approved."
42,2025-07-01T10:05:00+05:30,dispatch@tirupurmart.in,Re: PO 2025-501 – Shade Approval Pending,"Hi Sir, Awaiting your confirmation on the Navy lab-dip attached so we can proceed to dyeing."
43,2025-07-05T09:00:00+05:30,dispatch@tirupurmart.in,Re: PO 2025-501 – Dyeing Delay,"Dear Sir, Continuous rain has slowed drying at the dye house, causing a 2-day delay. Revised dispatch date is 30 Jul."
44,2025-07-27T11:15:00+05:30,dispatch@tirupurmart.in,Re: PO 2025-501 – Packed & Ready,"Greetings, All 1,000 pcs are packed. Packing list and invoice INV-501 attached; please share the courier docket once booked."
45,2025-07-28T14:40:00+05:30,dispatch@tirupurmart.in,Re: PO 2025-501 – Courier Tracking,"Hi Sir, Shipment handed to BlueDart AWB BD123456789. ETA your warehouse 02 Aug; kindly confirm upon delivery."
,,,,
46,2025-07-02T08:50:00+05:30,sales@kanchifabs.co.in,Fwd: Purchase Order 2025-502 Created,"Respected Sir, PO 2025-502 for 600 pcs linen shirts acknowledged. Production begins 25 Jul."
47,2025-07-03T12:10:00+05:30,sales@kanchifabs.co.in,Re: PO 2025-502 – Tailor Master Unwell,"Respected Sir, Our tailor master is unwell today, causing a 1-day stitching delay; we will compensate with overtime tomorrow."
48,2025-07-06T14:30:00+05:30,sales@kanchifabs.co.in,Re: PO 2025-502 – Fabric Quality Issue,"Hi Sir, Fabric GSM is 3 % below spec. Please advise whether to proceed or await replacement."
49,2025-07-25T16:45:00+05:30,sales@kanchifabs.co.in,Re: PO 2025-502 – Goods Packed,"Dear Sir, Goods packed (600 pcs). Truck arranged for 28 Jul evening; kindly confirm unloading slot."
50,2025-07-26T09:00:00+05:30,sales@kanchifabs.co.in,Re: PO 2025-502 – Invoice Attached,"Greetings, Invoice INV-502 and e-way bill attached. Request 30 % balance before dispatch."
,,,,
51,2025-07-04T09:20:00+05:30,orders@weavesindia.com,Fwd: Purchase Order 2025-503 Created,"Hello Sir, Acknowledged PO 2025-503 for 800 pcs printed rayon tops; production plan attached."
52,2025-07-04T15:30:00+05:30,orders@weavesindia.com,Re: PO 2025-503 – Print File Needed,"Dear Sir, Artwork for style WRT-18 missing; please resend the .ai file."
53,2025-07-18T11:00:00+05:30,orders@weavesindia.com,Re: PO 2025-503 – Partial Packed,"Hello Sir, First lot of 400 pcs packed. Do we ship partial or wait for balance?"
54,2025-07-24T18:40:00+05:30,orders@weavesindia.com,Re: PO 2025-503 – Truck Scheduled,"Greetings, Full order ready; truck KA01AB1234 departs 29 Jul 06:00. ETA 30 Jul; kindly arrange gate pass."
55,2025-07-25T10:35:00+05:30,orders@weavesindia.com,Re: PO 2025-503 – Invoice & PL,"Dear Sir, Invoice INV-503 and packing list attached; please acknowledge receipt."
,,,,
56,2025-07-05T08:00:00+05:30,supplier1@textiles.in,Fwd: Purchase Order 2025-504 Created,"Hi Sir, PO 2025-504 for 1,200 pcs interlock leggings confirmed. Cutting starts today."
57,2025-07-07T13:55:00+05:30,supplier1@textiles.in,Re: PO 2025-504 – Power-Cut Delay,"Dear Sir, Frequent power cuts have slowed stitching; revised finish date is 01 Aug."
58,2025-07-10T09:10:00+05:30,supplier1@textiles.in,Re: PO 2025-504 – Advance Pending,"Hello Sir, Advance payment INR 2,00,000 is pending; kindly release to continue work."
59,2025-07-22T14:25:00+05:30,supplier1@textiles.in,Re: PO 2025-504 – Part Shipment Packed,"Greetings, We packed 600 pcs; awaiting balance fabric to complete the order."
60,2025-07-23T15:10:00+05:30,supplier1@textiles.in,Re: PO 2025-504 – Invoice Attached,"Dear Sir, Part-shipment invoice INV-504 attached; please process payment."
,,,,
61,2025-07-06T10:25:00+05:30,logistics@suratfabrics.com,Fwd: Purchase Order 2025-505 Created,"Dear Sir, Thank you for PO 2025-505 (5,000 m viscose fabric). Greige inspection report attached."
62,2025-07-08T09:15:00+05:30,logistics@suratfabrics.com,Re: PO 2025-505 – Loom Breakdown,"Hi Sir, Two looms are down; output reduced 20 %. Expect a 3-day delay."
63,2025-07-09T16:50:00+05:30,logistics@suratfabrics.com,Re: PO 2025-505 – Dye-Lab Approval,"Hello Sir, Lab dip LDP-505 in Cobalt ready; need your approval to proceed."
64,2025-07-26T12:05:00+05:30,logistics@suratfabrics.com,Re: PO 2025-505 – Dispatch Advice,"Greetings, 200 rolls packed on pallets; vehicle GJ05XY6789 scheduled tonight."
65,2025-07-27T08:45:00+05:30,logistics@suratfabrics.com,Re: PO 2025-505 – Invoice & LR,"Dear Sir, Invoice INV-505 and lorry receipt attached for your records."
,,,,
66,2025-07-07T08:10:00+05:30,ops@kolkataweaves.net,Fwd: Purchase Order 2025-506 Created,"Hello Sir, PO 2025-506 for 300 hand-loom dupattas received; dyeing slots booked."
67,2025-07-09T17:05:00+05:30,ops@kolkataweaves.net,Re: PO 2025-506 – Yarn Delay,"Dear Sir, Dyed yarn arriving late from supplier; weaving schedule shifted by 2 days."
68,2025-07-10T13:25:00+05:30,ops@kolkataweaves.net,Re: PO 2025-506 – Sample Approval,"Hi Sir, Pre-production sample images attached; kindly approve to proceed."
69,2025-07-29T11:50:00+05:30,ops@kolkataweaves.net,Re: PO 2025-506 – Weaving Completed,"Greetings, Weaving done; finishing underway. ETA dispatch 03 Aug."
70,2025-07-30T09:55:00+05:30,ops@kolkataweaves.net,Re: PO 2025-506 – Dispatch Scheduled,"Dear Sir, All 300 pcs packed. Courier DTDC AWB D12345673; invoice INV-506 attached."
,,,,
71,2025-07-09T10:30:00+05:30,info@delhigarments.org,Fwd: Purchase Order 2025-507 Created,"Dear Sir, Acknowledged PO 2025-507 for 750 pcs polo shirts; size breakup attached for confirmation."
72,2025-07-09T15:00:00+05:30,info@delhigarments.org,Re: PO 2025-507 – Size Confirmation Received,"Hello Sir, Thanks for confirming sizes; fabric cutting has started."
73,2025-07-13T16:20:00+05:30,info@delhigarments.org,Re: PO 2025-507 – Embroidery Machine Issue,"Hi Sir, Embroidery machine maintenance needed; minor delay anticipated."
74,2025-07-30T14:40:00+05:30,info@delhigarments.org,Re: PO 2025-507 – Goods Ready for QC,"Greetings, All pieces stitched and pressed; awaiting your QC visit or video call approval."
75,2025-07-31T10:15:00+05:30,info@delhigarments.org,Re: PO 2025-507 – Invoice & Dispatch,"Dear Sir, QC passed. Invoice INV-507 and packing list attached; truck leaves 01 Aug."
,,,,
76,2025-07-10T09:45:00+05:30,production@chennaiknitwear.in,Fwd: Purchase Order 2025-508 Created,"Hi Sir, PO 2025-508 for 900 pcs kids joggers booked; 50 % advance requested to start knitting."
77,2025-07-11T10:50:00+05:30,production@chennaiknitwear.in,Re: PO 2025-508 – Advance Received,"Dear Sir, Advance received; knitting commenced this evening."
78,2025-07-12T12:15:00+05:30,production@chennaiknitwear.in,Re: PO 2025-508 – Dye-House Queue,"Hello Sir, Dye house slot booked for 28 Jul; overall timeline unchanged."
79,2025-07-28T17:05:00+05:30,production@chennaiknitwear.in,Re: PO 2025-508 – Packed 900 pcs,"Greetings, Entire order packed; carton list attached. Please share transporter details."
80,2025-07-29T09:25:00+05:30,production@chennaiknitwear.in,Re: PO 2025-508 – Tracking Details,"Dear Sir, Shipment via VRL LR V45678901; invoice INV-508 attached for your reference."
,,,,
81,2025-07-12T08:35:00+05:30,support@lucknowloomers.com,Fwd: Purchase Order 2025-509 Created,"Respected Sir, Received PO 2025-509 for 500 pcs Chikankari kurtis; thread chart will be shared by EOD."
82,2025-07-12T14:10:00+05:30,support@lucknowloomers.com,Re: PO 2025-509 – Thread Color Approval,"Hi Sir, Thread chart attached; kindly approve shade #17 Ivory."
83,2025-07-24T09:15:00+05:30,support@lucknowloomers.com,Re: PO 2025-509 – Artisans on Leave,"Dear Sir, Festival leave for artisans on 27-28 Jul will pause production for 2 days."
84,2025-07-26T16:00:00+05:30,support@lucknowloomers.com,Re: PO 2025-509 – Production Resumed,"Greetings, Work resumed; expected completion 05 Aug."
85,2025-08-03T11:40:00+05:30,support@lucknowloomers.com,Re: PO 2025-509 – Dispatch Plan,"Hello Sir, Request approval to ship 250 pcs on 06 Aug to meet your sales event deadline."
,,,,
86,2025-07-14T10:00:00+05:30,orderdesk@jaipurcottons.co.uk,Fwd: Purchase Order 2025-510 Created,"Hi Sir, PO 2025-510 for 1,500 m block-print cotton fabric confirmed; screen burning starts tomorrow."
87,2025-07-15T17:20:00+05:30,orderdesk@jaipurcottons.co.uk,Re: PO 2025-510 – Screen Approval,"Dear Sir, Strike-off attached; please approve before bulk printing."
88,2025-07-17T11:45:00+05:30,orderdesk@jaipurcottons.co.uk,Re: PO 2025-510 – Monsoon Humidity,"Hello Sir, High humidity is slowing drying; recommend adding 24 hours to timeline."
89,2025-07-30T09:10:00+05:30,orderdesk@jaipurcottons.co.uk,Re: PO 2025-510 – Roll Inspection Report,"Greetings, Inspection report shows 97.8 % A-grade. Kindly acknowledge."
